Nome,Evento Generale,Warning Generale,Evento Specifico,Warning Specifico,Evento Specifico Vecchio
Martello kg 3.000 SF65,martello,,Martello 3.000Kg,,Martello Master
Giavellotto g 500 SF70,giavellotto,,Giavellotto 500g,,Giavellotto Master
Martello kg 3.000 SF70,martello,,Martello 3.000Kg,,Martello Master
Giavellotto g 400 SF75,giavellotto,,Giavellotto 400g,,Giavellotto Master
Martello kg 2.000 SF75,martello,,Martello 2.000Kg,,Martello Master
Peso/SP Kg 2.000 SF80,peso,,Peso 2.000Kg,,Peso Master
Martello kg 2.000 SF80,martello,,Martello 2.000Kg,,Martello Master
Peso/SP Kg 2.000 SF85,peso,,Peso 2.000Kg,,Peso Master
Giavellotto g 400 SF90,giavellotto,,Giavellotto 400g,,Giavellotto Master
Martello kg 2.000 SF90,martello,,Martello 2.000Kg,,Martello Master
Peso F70+,peso,,Peso Master,,Peso Master
Peso M75+,peso,,Peso Master,,Peso Master
Martello M70+,martello,,Martello Master,,Martello Master
Martello kg 5.000 M60-65,martello,,Martello 5.000Kg,,Martello Master
Disco kg 1.000 M70+,disco,,Disco 1.000Kg,,Disco Kg 1.000
Disco kg 1.000 M60-65,disco,,Disco 1.000Kg,,Disco Kg 1.000
Giavellotto g 500 F60-65,giavellotto,,Giavellotto 500g,,Giavellotto Master
Giavellotto F70+,giavellotto,,Giavellotto Master,,Giavellotto Master
Martello kg 3.000 F60-65,martello,,Martello 3.000Kg,,Martello Master
Martello SF70+,martello,,Martello Master,,Martello Master
Peso SM60+ PENTATHLON,peso,'+' sus,Peso Master,,Peso Master
Peso SF60+ PENTATHLON,peso,'+' sus,Peso Master,,Peso Master
Peso kg 3 SF60 PENTATHLON,peso,,Peso 3.000Kg,,Peso Master
Peso kg 2 SF75 PENTATHLON,peso,,Peso 2.000Kg,,Peso Kg 2.000
Peso kg 5 SM60 PENTATHLON,peso,,Peso 5.000Kg,,Peso Master
Peso kg 5 SM65 PENTATHLON,peso,,Peso 5.000Kg,,Peso Master
Peso kg 4 SM75 PENTATHLON,peso,,Peso 4.000Kg,,Peso Master
Peso kg 3 SM80 PENTATHLON,peso,,Peso 3.000Kg,,Peso Master
PENTATHLON SF60,prove multiple,PM sus,prove multiple,,Pentathlon indoor Master
PENTATHLON SF75,prove multiple,PM sus,prove multiple,,Pentathlon indoor Master
PENTATHLON SM60,prove multiple,PM sus,prove multiple,,Pentathlon indoor Master
PENTATHLON SM65,prove multiple,PM sus,prove multiple,,Pentathlon indoor Master
PENTATHLON SM75,prove multiple,PM sus,prove multiple,,Pentathlon indoor Master
PENTATHLON SM80,prove multiple,PM sus,prove multiple,,Pentathlon indoor Master
60m EPTATHLON PROMESSE UOMINI U23,corsa piana,,60m,,60m
60Hs H106 EPTATHLON PROMESSE UOMINI U23,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
1000m EPTATHLON PROMESSE UOMINI U23,corsa piana,,1000m,,1000m
60Hs H84 PENTATHLON PROMESSE DONNE U23,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
800m PENTATHLON PROMESSE DONNE U23,corsa piana,,800m,,800m
60Hs H84 PENTATHLON JUNIOR DONNE U20,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
800m PENTATHLON JUNIOR DONNE U20,corsa piana,,800m,,800m
60Hs H91 PENTATHLON ALLIEVI U18,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
Lungo EPTATHLON PROMESSE UOMINI U23,lungo,,Salto in lungo,,Salto in lungo
Alto EPTATHLON PROMESSE UOMINI U23,alto,,Salto in alto,,Salto in alto
Asta EPTATHLON PROMESSE UOMINI U23,asta,,Salto con l'asta,,Salto con l’asta
Alto PENTATHLON PROMESSE DONNE U23,alto,,Salto in alto,,Salto in alto
Lungo PENTATHLON PROMESSE DONNE U23,lungo,,Salto in lungo,,Salto in lungo
Alto PENTATHLON JUNIOR DONNE U20,alto,,Salto in alto,,Salto in alto
Lungo PENTATHLON JUNIOR DONNE U20,lungo,,Salto in lungo,,Salto in lungo
Peso kg 7.260 EPTATHLON PROMESSE UOMINI U23,peso,,Peso 7.260Kg,,Peso Kg 7.260
Peso kg 4 PENTATHLON PROMESSE DONNE U23,peso,,Peso 4.000Kg,,Peso Kg 4.000
Peso kg 4 PENTATHLON JUNIOR DONNE U20,peso,,Peso 4.000Kg,,Peso Kg 4.000
PENTATHLON INDOOR ALLIEVI U18,prove multiple,PM sus,prove multiple,,Pentathlon indoor AM
EPTATHLON INDOOR PROMESSE UOMINI U23,prove multiple,PM sus,prove multiple,,Eptathlon indoor M
EPTATHLON INDOOR JUNIOR UOMINI U20,prove multiple,PM sus,prove multiple,,Eptathlon indoor JM
PENTATHLON INDOOR PROMESSE DONNE U23,prove multiple,PM sus,prove multiple,,Pentathlon indoor F
PENTATHLON INDOOR JUNIOR DONNE U20,prove multiple,PM sus,prove multiple,,Pentathlon indoor F
PENTATHLON INDOOR ALLIEVE - 800 U18,prove multiple,PM sus,prove multiple,,Pentathlon indoor AF
60 metri CADETTE 2009-2010,corsa piana,,60m,,60m
600 metri CADETTE 2009-2010,corsa piana,,600m,,600m
60 metri RAGAZZI 2011,corsa piana,,60m,,60m
600 metri RAGAZZI 2011,corsa piana,,600m,,600m
60 metri RAGAZZE 2011,corsa piana,,60m,,60m
600 metri RAGAZZE 2011,corsa piana,,600m,,600m
60 metri CADETTI 2009-2010,corsa piana,,60m,,60m
600 metri CADETTI 2009-2010,corsa piana,,600m,,600m
Salto in lungo CADETTE 2009-2010,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo RAGAZZI 2011,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo RAGAZZE 2011,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo CADETTI 2009-2010,lungo,,Salto in lungo,,Salto in lungo
Peso kg 3 CADETTE 2009-2010,peso,,Peso 3.000Kg,,Peso Kg 3.000
Peso gomma kg 2 RAGAZZI 2011,peso,,Peso 2.000Kg,,Peso gomma 2Kg
Peso gomma kg 2 RAGAZZE 2011,peso,,Peso 2.000Kg,,Peso gomma 2Kg
Peso kg 4 CADETTI 2009-2010,peso,,Peso 4.000Kg,,Peso Kg 4.000
Peso 4 kg CADETTI,peso,,Peso 4.000Kg,,Peso Kg 4.000
Peso 3 kg CADETTE,peso,,Peso 3.000Kg,,Peso Kg 3.000
Peso gomma 2 kg RAGAZZI,peso,,Peso 2.000Kg,,Peso gomma 2Kg
Peso gomma 2 kg RAGAZZE,peso,,Peso 2.000Kg,,Peso gomma 2Kg
600 metri TETRATHLON Cadetti,corsa piana,,600m,,600m
60 Hs H 84-8.50 TETRATHLON Cadetti,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
600 metri TETRATHLON Cadette,corsa piana,,600m,,600m
60 Hs H 76-8.00 TETRATHLON Cadette,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
Salto in alto TETRATHLON Cadetti,alto,,Salto in alto,,Salto in alto
Salto in lungo TETRATHLON Cadette,lungo,,Salto in lungo,,Salto in lungo
Giavellotto 600 Gr TETRATHLON Cadetti,giavellotto,,Giavellotto 600g,,Giavellotto 600g
Giavellotto 400 Gr TETRATHLON Cadette,giavellotto,,Giavellotto 400g,,Giavellotto 400g
Salto con l'asta,asta,,Salto con l'asta,,Salto con l’asta
800m CADETTI,corsa piana,,800m,,800m
60Hs H84-8.50 CADETTI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
800m CADETTE,corsa piana,,800m,,800m
60Hs H76-8.00 CADETTE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.00
50m ESO M10,corsa piana,,50m,,50m
200m ESO M10,corsa piana,,200m,,200m
50m ESO F10,corsa piana,,50m,,50m
200m ESO F10,corsa piana,,200m,,200m
50m ESO M8,corsa piana,,50m,,50m
200m ESO M8,corsa piana,,200m,,200m
50m ESO F8,corsa piana,,50m,,50m
200m ESO F8,corsa piana,,200m,,200m
50m ESO M5,corsa piana,,50m,,50m
200m ESO M5,corsa piana,,200m,,200m
50m ESO F5,corsa piana,,50m,,50m
200m ESO F5,corsa piana,,200m,,200m
Salto in alto ESO M10,alto,,Salto in alto,,Salto in alto
Salto in alto ESO F10,alto,,Salto in alto,,Salto in alto
Salto in lungo ESO M8,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo ESO F8,lungo,,Salto in lungo,,Salto in lungo
Peso kg 2 RAGAZZI,peso,,Peso 2.000Kg,,Peso Kg 2.000
Peso kg 2 RAGAZZE,peso,,Peso 2.000Kg,,Peso Kg 2.000
60m FINALE UOMINI A,corsa piana,,60m,,60m
60m FINALE UOMINI B,corsa piana,,60m,,60m
60m FINALE UOMINI C,corsa piana,,60m,,60m
60 Hs H 106 FINALE UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60 Hs H 100 FINALE JUNIOR M (U20),ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H 91-9.14 FINALE ALLIEVI (U18),ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60m FINALE DONNE A,corsa piana,,60m,,60m
60m FINALE DONNE B,corsa piana,,60m,,60m
100 Hs H 76-8.50 ALLIEVE (U18),ostacoli,,100 Hs,non conosco l'altezza,100 Hs h76-8.50
60 Hs H 84-8.50 FINALE DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 Hs H 76-8.50 FINALE ALLIEVE (U18),ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 Hs H 84-8.50  P/S Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto Maschile,alto,,Salto in alto,,Salto in alto
Salto in lungo Maschile,lungo,,Salto in lungo,,Salto in lungo
Salto in alto Femminile,alto,,Salto in alto,,Salto in alto
Salto con l'asta Femminile,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo Femminile,lungo,,Salto in lungo,,Salto in lungo
60m - AJPS UOMINI,corsa piana,,60m,,60m
60m - AJPS DONNE,corsa piana,,60m,,60m
Salto in lungo - AJPS UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo - AJPS DONNE,lungo,,Salto in lungo,,Salto in lungo
200 metri Uomini,corsa piana,,200m,,200m
60 Hs Junior M (U20),ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60 Hs H Allievi (U18),ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60m Finale A Uomini,corsa piana,,60m,,60m
60m Finali B Uomini,corsa piana,,60m,,60m
60m Finale C Uomini,corsa piana,,60m,,60m
200 metri Donne,corsa piana,,200m,,200m
60m Finale A Donne,corsa piana,,60m,,60m
60m Finale B Donne,corsa piana,,60m,,60m
600 metri TETRATHLON CADETTI,corsa piana,,600m,,600m
Salto in lungo TETRATHLON CADETTI,lungo,,Salto in lungo,,Salto in lungo
50m P/S Uomini,corsa piana,,50m,,50m
50m Allievi,corsa piana,,50m,,50m
50m Juniores Uomini,corsa piana,,50m,,50m
50m P/S Donne,corsa piana,,50m,,50m
50m Allieve,corsa piana,,50m,,50m
50m Juniores Donne,corsa piana,,50m,,50m
Staff. 4X160 Indoor Ragazzi,staffetta,,4x160m,,4x160m
Salto con l'asta AJPS Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo AJPS Uomini,alto,,Salto in alto,,Salto triplo
Salto con l'asta AJPS Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo AJPS Donne,alto,,Salto in alto,,Salto triplo
50 metri UOMINI,corsa piana,,50m,,50m
50m UOMINI FINALE A,corsa piana,,50m,,50m
50m UOMINI FINALE B,corsa piana,,50m,,50m
50m UOMINI FINALE C,corsa piana,,50m,,50m
50 Hs H106 UOMINI,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h106-9.14
50 Hs H106 UOMINI 2^ PROVA,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h106-9.14
50 Hs H100 JUNIOR M (U20),ostacoli,,50 Hs,non conosco l'altezza,50 Hs h100-9.14
50 Hs H100 JUNIOR M (U20) 2^ PROVA,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h100-9.14
50 Hs H91 ALLIEVI (U18),ostacoli,,50 Hs,non conosco l'altezza,60 Hs h91-9.14
50 Hs H91 ALLIEVI (U18) 2^ PROVA,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h91-9.14
4X160 UOMINI,staffetta,,4x160m,,4x160m
50 metri DONNE,corsa piana,,50m,,50m
50m DONNE FINALE A,corsa piana,,50m,,50m
50m DONNE FINALE B,corsa piana,,50m,,50m
50 Hs H84 DONNE,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h84-8.50
50 Hs H84 DONNE 2^ PROVA,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h84-8.50
50 Hs H76 ALLIEVE (U18),ostacoli,,50 Hs,non conosco l'altezza,50 Hs h76-8.50
50 Hs H76 ALLIEVE (U18) 2^ PROVA,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h76-8.50
4X160 DONNE,staffetta,,4x160m,,4x160m
50 metri CADETTI (U16),corsa piana,,50m,,50m
50 Hs H84 CADETTI (U16),ostacoli,,50 Hs,non conosco l'altezza,50 Hs h84-8.50
4X160 CADETTI (U16),staffetta,,4x160m,,4x160m
50 metri CADETTE (U16),corsa piana,,50m,,50m
50 Hs H76 CADETTE (U16),ostacoli,,50 Hs,non conosco l'altezza,50 Hs h76-8.00
4X160 CADETTE (U16),staffetta,,4x160m,,4x160m
50 metri RAGAZZI (U14),corsa piana,,50m,,50m
50 metri RAGAZZE (U14),corsa piana,,50m,,50m
50 metri ESORDIENTI M10,corsa piana,,50m,,50m
50 metri ESORDIENTI F10,corsa piana,,50m,,50m
Salto triplo/TJ P/S Donne,alto,,Salto in alto,,Salto triplo
Salto triplo/TJ P/S Uomini,alto,,Salto in alto,,Salto triplo
Staffetta 3x2 Giri Cadetti,staffetta,,3x400m,,3x400m
1000 metri PENTATHLON SM60,corsa piana,,1000m,,1000m
60 Hs H 84-8.00 PENTATHLON SM60,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
60 Hs H 84-8.50 PENTATHLON JPS DONNE,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
60 piani EPTATHLON JPS UOMINI,corsa piana,,60m,,60m
1000 metri EPTATHLON JPS UOMINI,corsa piana,,1000m,,1000m
60 Hs H 106 EPTATHLON JPS UOMINI,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
Salto in alto PENTATHLON SM60,alto,,Salto in alto,,Salto in alto
Salto in lungo PENTATHLON SM60,lungo,,Salto in lungo,,Salto in lungo
Salto in alto PENTATHLON JPS DONNE,alto,,Salto in alto,,Salto in alto
Salto in lungo PENTATHLON JPS DONNE,lungo,,Salto in lungo,,Salto in lungo
Salto in alto EPTATHLON JPS UOMINI,alto,,Salto in alto,,Salto in alto
Salto con l'asta EPTATHLON JPS UOMINI,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo EPTATHLON JPS UOMINI,lungo,,Salto in lungo,,Salto in lungo
Salto con l'asta A/J/P/S M,asta,,Salto con l'asta,,Salto con l’asta
Salto triplo A/J/P/S M,alto,,Salto in alto,,Salto triplo
Salto triplo A/J/P/S F,alto,,Salto in alto,,Salto triplo
Staff. 4X160 Indoor Ragazze,staffetta,,4x160m,,4x160m
60 piani Allieve Lombardia Finale,corsa piana,,60m,,60m
60 Hs H 76-8.50 Allieve Lombardia Finale,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60 piani Allievi Lombardia Finale,corsa piana,,60m,,60m
60 Hs H 91-9.14 Allievi Lombardia Finale,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
60 piani JPS Uomini,corsa piana,,60m,,60m
60 piani JPS Donne,corsa piana,,60m,,60m
60 Hs H 84-8.50 JPS Donne,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto JPS Uomini,alto,,Salto in alto,,Salto in alto
Salto con l'asta JPS Uomini,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo JPS Uomini,lungo,,Salto in lungo,,Salto in lungo
Salto triplo JPS Uomini,alto,,Salto in alto,,Salto triplo
Salto in alto JPS Donne,alto,,Salto in alto,,Salto in alto
Salto con l'asta JPS Donne,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo JPS Donne,lungo,,Salto in lungo,,Salto in lungo
Salto triplo JPS Donne,alto,,Salto in alto,,Salto triplo
60 piani EPTATHLON I/O JPS M,corsa piana,,60m,,60m
1000 metri EPTATHLON I/O JPS M,corsa piana,,1000m,,1000m
60 Hs H 106 EPTATHLON I/O JPS M,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
Salto in alto/HJ EPTATHLON I/O JPS M,alto,,Salto in alto,,Salto in alto
Salto con l'asta/PV EPTATHLON I/O JPS M,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo/LJ EPTATHLON I/O JPS M,lungo,,Salto in lungo,,Salto in lungo
Staffetta 3x2 Giri Cadette,staffetta,,3x400m,,3x400m
60m Ragazzi 2010,corsa piana,,60m,,60m
60m Ragazze 2010,corsa piana,,60m,,60m
200m Master Uomini,corsa piana,,200m,,200m
200m Master Donne,corsa piana,,200m,,200m
60 piani Assoluti Uomini,corsa piana,,60m,,60m
60 piani Assoluti Donne,corsa piana,,60m,,60m
60m Finale A Cadetti,corsa piana,,60m,,60m
60m Finale B Cadetti,corsa piana,,60m,,60m
200 metri Cadetti,corsa piana,,200m,,200m
Staff. 4X160 Indoor Cadetti,staffetta,,4x160m,,4x160m
60m Finale A Cadette,corsa piana,,60m,,60m
60m Finale B Cadette,corsa piana,,60m,,60m
200 metri Cadette,corsa piana,,200m,,200m
Staff. 4X160 Indoor Cadette,staffetta,,4x160m,,4x160m
200 metri Ragazzi,corsa piana,,200m,,200m
200 metri Ragazze,corsa piana,,200m,,200m
50 Hs H76 CADETTE,ostacoli,,50 Hs,non conosco l'altezza,50 Hs h76-8.00
60m A/J/P/S M,corsa piana,,60m,,60m
60 Hs A/J/P/S M,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
60m A/J/P/S F,corsa piana,,60m,,60m
60 Hs A/J/P/S F,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto  MASCHILE,alto,,Salto in alto,,Salto in alto
60m FISPES T54,corsa piana,,60m,,60m
60 Hs H 91 Pentathlon Allievi,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h91-9.14
1000m Pentathlon Allievi,corsa piana,,1000m,,1000m
60 Hs H 76 Pentathlon Allieve,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
800m Pentathlon Allieve,corsa piana,,800m,,800m
60 Hs H 84 Pentathlon Ass. F,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
800m Pentathlon Ass. F,corsa piana,,800m,,800m
600 metri Esordienti M 10,corsa piana,,600m,,600m
50 metri Esordienti M 10,corsa piana,,50m,,50m
600 metri Esordienti F 10,corsa piana,,600m,,600m
Salto in alto Pentathlon Allievi,alto,,Salto in alto,,Salto in alto
Salto in lungo Pentathlon Allievi,lungo,,Salto in lungo,,Salto in lungo
Salto in alto Pentathlon Allieve,alto,,Salto in alto,,Salto in alto
Salto in lungo Pentathlon Allieve,lungo,,Salto in lungo,,Salto in lungo
Salto in alto Pentathlon Ass. F,alto,,Salto in alto,,Salto in alto
Salto in lungo Pentathlon Ass. F,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo Esordienti M 10,lungo,,Salto in lungo,,Salto in lungo
Salto in lungo Esordienti F 10,lungo,,Salto in lungo,,Salto in lungo
60m FISDIR,corsa piana,,60m,,60m
Salto in lungo DONNE A/J/P/S,lungo,,Salto in lungo,,Salto in lungo
60 Hs H 76-8.50N ALLIEVE PENTATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h76-8.50
60m JUN/MASCHI EPTATHLON,corsa piana,,60m,,60m
1000m JUN/MASCHI EPTATHLON,corsa piana,,1000m,,1000m
60 Hs H 100 JUN/MASCHI EPTATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h100-9.14
60m ASSOLUTO MASCHI EPTATHLON,corsa piana,,60m,,60m
1000m ASSOLUTO MASCHI EPTATHLON,corsa piana,,1000m,,1000m
60 Hs H 106 ASSOLUTO MASCHI EPTATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
800m ASSOLUTO FEMMINILE PENTATHLON,corsa piana,,800m,,800m
60 Hs H 84-8.50 ASS/FEMMINILE PENTATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
Salto in alto JUN/MASCHI EPTATHLON,alto,,Salto in alto,,Salto in alto
Salto con l'asta JUN/MASCHI  EPTATHLON,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo JUN/MASCHI EPTATHLON,lungo,,Salto in lungo,,Salto in lungo
Salto in alto ASSOLUTO MASCHI EPTATHLON,alto,,Salto in alto,,Salto in alto
Salto con l'asta ASS/MASCHI EPTATHLON,asta,,Salto con l'asta,,Salto con l’asta
Salto in lungo ASSOLUTO MASCHI EPTATHLON,lungo,,Salto in lungo,,Salto in lungo
Salto in alto ASS/ FEMMINILE PENTATHON,alto,,Salto in alto,,Salto in alto
Salto in lungo ASS/FEMMINILE PENTATHLON,lungo,,Salto in lungo,,Salto in lungo
60m  MASTER/BANCARI DONNE,corsa piana,,60m,,60m
400m  MASTER/BANCARI DONNE,corsa piana,,400m,,400m
1500m  MASTER/BANCARI DONNE,corsa piana,,1500m,,1500m
Staffetta 4x1giro BANCARI DONNE,staffetta,,4x200m,,4x200m
Staffetta 4x1giro MASTER DONNE,staffetta,,4x200m,,4x200m
60m  MASTER/BANCARI UOMINI,corsa piana,,60m,,60m
400m  MASTER/BANCARI UOMINI,corsa piana,,400m,,400m
1500m  BANCARI UOMINI,corsa piana,,1500m,,1500m
Staffetta 4x1giro BANCARI UOMINI,staffetta,,4x200m,,4x200m
Staffetta 4x1giro MISTA,staffetta,,4x200m,,4x200m
Alto  BANCARI DONNE,alto,,Salto in alto,,Salto in alto
Lungo  MASTER/BANCARI DONNE,lungo,,Salto in lungo,,Salto in lungo
Alto  BANCARI UOMINI,alto,,Salto in alto,,Salto in alto
Lungo  MASTER/BANCARI UOMINI,lungo,,Salto in lungo,,Salto in lungo
60 piani Ragazze BIATHLON,corsa piana,,60m,,60m
60 piani Ragazzi BIATHLON,corsa piana,,60m,,60m
60 Hs H 60 Ragazze BIATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
60 Hs H 60 Ragazzi BIATHLON,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h60-7.50
Salto Quadruplo Ragazze BIATHLON,alto,,Salto in alto,,Salto quadruplo
Salto Quadruplo Ragazzi BIATHLON,alto,,Salto in alto,,Salto quadruplo
50 metri  EM5,corsa piana,,50m,,50m
200 metri EM5,corsa piana,,200m,,200m
200 metri EF5,corsa piana,,200m,,200m
Salto in lungo/LJ EF5,lungo,,Salto in lungo,,Salto in lungo
3000 metri Allieve,corsa piana,,3000m,,3000m
200 metri Adulti Uomini,corsa piana,,200m,,200m
200 metri Adulti Donne,corsa piana,,200m,,200m
Salto in lungo/LJ Adulte Donne,lungo,,Salto in lungo,,Salto in lungo
200 metri Special Olympics Uomini,corsa piana,,200m,,200m
50 metri Special Olympics Uomini,corsa piana,,50m,,50m
50 metri Cammino Special Olympics Uomini,corsa piana,,50m,,50m
Staff. 4X160 Special Olympics Uomini,staffetta,,4x160m,,4x160m
50 metri Special Olympics Donne,corsa piana,,50m,,50m
50 metri Cammino Special Olympics Donne,corsa piana,,50m,,50m
Staff. 4X160 Staffetta Unificata Special,staffetta,,4x160m,,4x160m
60m piani Cadette,corsa piana,,60m,,60m
60m piani Cadetti,corsa piana,,60m,,60m
Modello 1/STA - 14/01/2023,altro,,altro,,altro
Modello 1/STA - 15/01/2023,altro,,altro,,altro
35 metri Esordienti F 10,corsa piana,,35m,,35m
35 ostacoli Esordienti F 10,ostacoli,,35 Hs,non conosco l'altezza,35m
35 metri Esordienti F 5,corsa piana,,35m,,35m
35 ostacoli Esordienti F 5,ostacoli,,35 Hs,non conosco l'altezza,35m
35 metri Esordienti F 8,corsa piana,,35m,,35m
35 ostacoli Esordienti F 8,ostacoli,,35 Hs,non conosco l'altezza,35m
35 metri Esordienti M 10,corsa piana,,35m,,35m
35 ostacoli Esordienti M 10,ostacoli,,35 Hs,non conosco l'altezza,35m
35 metri Esordienti M 5,corsa piana,,35m,,35m
35 ostacoli Esordienti M 5,ostacoli,,35 Hs,non conosco l'altezza,35m
35 metri Esordienti M 8,corsa piana,,35m,,35m
35 ostacoli Esordienti M 8,ostacoli,,35 Hs,non conosco l'altezza,35m
35 metri Ragazze,corsa piana,,35m,,35m
35 ostacoli Ragazze,ostacoli,,35 Hs,non conosco l'altezza,35m
35 metri Ragazzi,corsa piana,,35m,,35m
35 ostacoli Ragazzi,ostacoli,,35 Hs,non conosco l'altezza,35m
Elenco Risultati Complessivi,altro,,altro,,altro
Staffetta 4X160 Indoor Uomini,staffetta,,4x160m,,4x160m
Staffetta 4X160 Indoor Donne,staffetta,,4x160m,,4x160m
Modello 1/STA - 21/01/2023,altro,,altro,,altro
Modello 1/STA - 22/01/2023,altro,,altro,,altro
40m Cadetti,corsa piana,,40m,,40m
40m Cadette,corsa piana,,40m,,40m
Peso kg 2.000 Ragazzi,peso,,Peso 2.000Kg,,Peso Kg 2.000
Peso kg 2.000 Ragazze,peso,,Peso 2.000Kg,,Peso Kg 2.000
Peso kg 2.000 Esordienti M10,peso,,Peso 2.000Kg,,Peso Kg 2.000
40m Esordienti M10,corsa piana,,40m,,40m
Salto in alto Esordienti F10,alto,,Salto in alto,,Salto in alto
40m Esordienti F10,corsa piana,,40m,,40m
Salto in alto Esordienti M8,alto,,Salto in alto,,Salto in alto
40m Esordienti M8,corsa piana,,40m,,40m
Salto in alto Esordienti F8,alto,,Salto in alto,,Salto in alto
40m Esordienti F8,corsa piana,,40m,,40m
40m Esordienti M5,corsa piana,,40m,,40m
40m Esordienti F5,corsa piana,,40m,,40m
Staffetta 4X160 Indoor Cadetti,staffetta,,4x160m,,4x160m
Staffetta 4X160 Indoor Cadette,staffetta,,4x160m,,4x160m
Staffetta 4X160 Indoor Ragazzi,staffetta,,4x160m,,4x160m
Staffetta 4X160 Indoor Ragazze,staffetta,,4x160m,,4x160m
60 piani MASCHILI,corsa piana,,60m,,60m
60 piani FEMMINILI,corsa piana,,60m,,60m
60 Hs H 76-8.00 MF40,ostacoli,,60 Hs,non conosco l'altezza,60 Hs Master
60m piani Ragazze,corsa piana,,60m,,60m
60m piani Ragazzi,corsa piana,,60m,,60m
60 Hs H 106 Promesse Uomini,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h106-9.14
Modello 1/STA 28-01-2023,altro,,altro,,altro
Peso kg 5.000 Allievi,peso,,Peso 5.000Kg,,Peso Kg 5.000
Peso kg 3.000 Allieve,peso,,Peso 3.000Kg,,Peso Kg 3.000
Peso kg 6.000 Juniores Uomini,peso,,Peso 6.000Kg,,Peso Kg 6.000
Salto in lungo  Juniores Donne,lungo,,Salto in lungo,,Salto in lungo
Peso kg 4.000 Juniores Donne,peso,,Peso 4.000Kg,,Peso Kg 4.000
Peso kg 4.000 Promesse Donne,peso,,Peso 4.000Kg,,Peso Kg 4.000
60 piani MASTER DONNE,corsa piana,,60m,,60m
60 Hs H 84-8.50 Seniores/sf35,ostacoli,,60 Hs,non conosco l'altezza,60 Hs h84-8.50
